Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,City,State,Car_Description
sx4,2008,17.08,32.38,17910,CNG,Dealer,Automatic,0,West Brendaview,California,Speech partner seek expert guess move million court.
vitara brezza,2023,20.05,19.48,110452,Petrol,Individual,Manual,2,East Christopher,Kentucky,Prepare song their which sea.
ritz,2006,14.25,34.1,81514,Diesel,Individual,Automatic,1,North Robertmouth,Delaware,System score human some argue provide.
swift,2018,23.38,34.16,166408,Diesel,Dealer,Manual,1,Haydenborough,Arizona,Probably day yes interest.
ciaz,2018,17.7,14.07,56638,Petrol,Dealer,Automatic,1,Port Kaylafort,Illinois,Present win hundred big wrong.
s cross,2003,11.57,11.95,72295,CNG,Dealer,Automatic,1,Jameshaven,Alabama,Student anyone hold memory despite make.
dzire,2015,13.93,25.92,41092,Petrol,Dealer,Automatic,0,Lake Laura,New Hampshire,Food follow owner money.
ritz,2012,3.37,19.36,112234,Diesel,Dealer,Manual,1,New Lindafort,North Carolina,Degree blue TV at staff state value mention.
swift,2019,12.14,31.35,185366,CNG,Individual,Manual,0,Kimberlyburgh,Nevada,Political college name happy main government.
baleno,2017,18.81,25.78,159923,CNG,Individual,Manual,0,Morrisfort,Utah,Live risk help prepare sit expect tax sell.
alto 800,2012,19.78,21.15,22936,CNG,Individual,Automatic,2,Lawsonton,Oklahoma,Fast different ten sit meeting.
swift,2006,18.48,6.62,187520,Petrol,Dealer,Automatic,2,Port Lindashire,Missouri,Idea the good hear pressure weight.
ertiga,2009,24.54,23.51,43705,Diesel,Individual,Manual,2,West Danatown,Nevada,Successful yeah hope media share.
wagon r,2000,20.61,11.14,23718,Petrol,Dealer,Manual,2,North Felicia,Utah,Second quickly quickly keep a method bed interesting.
dzire,2002,7.74,27.44,35701,Diesel,Dealer,Automatic,1,Jessicaborough,Arkansas,Pressure kind describe.
alto 800,2000,7.69,33.65,112295,CNG,Individual,Automatic,0,East Desiree,South Dakota,Wall agreement budget role prevent it.
sx4,2011,2.57,11.86,116208,CNG,Individual,Automatic,0,New Kimberlystad,Arizona,Western could enjoy treatment no.
s cross,2010,17.78,25.16,92756,CNG,Individual,Manual,0,East Rodneyview,Oklahoma,Be television create risk.
alto 800,2015,3.99,15.15,71351,Diesel,Individual,Manual,0,Tiffanyfurt,Hawaii,Want although meet enjoy course amount certainly.
vitara brezza,2018,12.45,34.95,169125,CNG,Dealer,Automatic,1,Lake Holly,New York,Center budget same response full.
wagon r,2002,2.28,10.23,10362,CNG,Dealer,Automatic,2,New Kevintown,Connecticut,Training billion federal film.
ciaz,2006,21.02,4.46,25270,CNG,Individual,Automatic,1,Williammouth,South Dakota,Old should style president maintain include condition.
wagon r,2007,15.17,7.9,76205,Diesel,Individual,Automatic,0,New Kimberlyside,Arizona,Town maintain help letter itself able.
dzire,2022,5.32,30.07,173117,Diesel,Dealer,Manual,2,Hoffmanshire,North Dakota,Industry fish low recognize.
vitara brezza,2000,7.99,33.82,70165,Diesel,Dealer,Manual,1,Owenland,Iowa,Large daughter try series in.
s cross,2002,16.12,25.69,164767,Diesel,Dealer,Automatic,2,Andrewfurt,Texas,Around degree nature technology after rest.
sx4,2012,5.5,24.62,93118,CNG,Individual,Automatic,0,West Alyssaton,Maine,Environmental eight wrong put affect site.
wagon r,2019,22.33,7.47,22109,Petrol,Dealer,Automatic,0,Nicholsview,New York,Mention guess class stop research more look.
ciaz,2014,22.46,8.58,111793,Diesel,Individual,Automatic,0,Cummingsfort,New York,Bit enjoy yeah buy.
s cross,2004,20.98,23.18,160476,Diesel,Individual,Manual,2,North Jeremychester,Colorado,Majority there I light thank main character.
dzire,2022,21.79,11.21,156100,Petrol,Individual,Automatic,1,Cainchester,Kentucky,Before south order cover realize indicate.
baleno,2021,2.68,18.68,82471,Petrol,Dealer,Automatic,1,Josephmouth,Wisconsin,Institution significant together.
baleno,2000,12.04,3.0,172898,Diesel,Individual,Automatic,1,Owensmouth,Pennsylvania,Any charge college moment some section gas.
vitara brezza,2006,21.34,3.41,68093,CNG,Individual,Manual,1,Flynnshire,North Dakota,Lot family appear Congress above age wear.
alto 800,2000,8.33,15.16,83192,CNG,Dealer,Automatic,1,North Alexanderbury,Nevada,To view response bill loss in kitchen.
dzire,2009,14.9,30.67,84433,Diesel,Dealer,Manual,2,Lake Jessica,Alabama,Film tonight against born.
baleno,2012,21.62,11.21,113779,CNG,Individual,Automatic,1,Triciabury,Florida,Statement cell find hand.
ertiga,2000,24.73,8.1,54815,Petrol,Dealer,Automatic,2,Markshire,Hawaii,Develop garden trip conference miss.
vitara brezza,2021,1.04,17.97,51889,Petrol,Individual,Automatic,0,North Hollyborough,Tennessee,Occur community from worry.
ciaz,2014,18.14,9.97,73177,CNG,Individual,Automatic,2,New Jessica,Illinois,Individual rule loss last.
vitara brezza,2015,22.32,15.43,124318,CNG,Individual,Manual,1,Lawrencebury,Washington,Number guess special everybody security like.
ritz,2008,18.14,13.28,101017,Petrol,Individual,Automatic,0,Thomasview,New Jersey,Face boy sing save others run.
swift,2000,19.58,28.01,197900,CNG,Dealer,Manual,0,East Jennahaven,Florida,Specific he spring throw.
s cross,2015,17.75,30.92,143129,CNG,Dealer,Automatic,1,New Stephanie,California,Middle Democrat start nearly.
ertiga,2022,7.85,12.46,140860,Diesel,Dealer,Manual,0,South Brett,Hawaii,Public yourself talk owner account.
s cross,2015,1.56,5.53,81948,Diesel,Individual,Manual,0,Jasonland,Missouri,Party social report cup.
s cross,2004,7.14,10.05,105001,Diesel,Individual,Automatic,1,Toddhaven,Vermont,Plant recognize while huge.
ritz,2001,11.9,12.55,17234,Petrol,Individual,Automatic,0,North Julie,Michigan,Lay adult job today.
sx4,2016,15.35,13.87,5367,Diesel,Individual,Automatic,1,Allenburgh,Minnesota,Full spring cost film red start attention.
